FIPS,GEOID,STATE,A01001B_001,A01001B_002,A01001B_003,A01001B_004,A01001B_005,A01001B_006,A01001B_007,A01001B_008,A01001B_009,A01001B_010,A01001B_011,A01001B_012
01001,05000US01001,01,55200,51937,47928,44358,41831,37166,30102,22728,14875,8050,3339,815
01003,05000US01003,01,208107,196498,184809,170486,162430,146989,123663,98286,69956,40665,16114,3949
01005,05000US01005,01,25782,24392,22942,21265,20346,18173,14498,11394,7942,4634,1814,422
01007,05000US01007,01,22527,21252,20074,18785,17868,15780,12705,9810,6371,3661,1539,427
01009,05000US01009,01,57645,54160,50528,46533,44177,39627,32841,25688,17741,10233,4101,866
01011,05000US01011,01,10352,9756,9122,8582,8202,7104,5984,4385,3063,1616,605,175
01013,05000US01013,01,20025,18820,17527,16253,15459,13888,11464,9063,6636,3806,1725,557
01015,05000US01015,01,115098,108536,101692,94534,89902,79135,64118,50273,35315,19386,7897,2050
01017,05000US01017,01,33826,31876,30148,28049,26820,23564,19873,15900,11252,6409,2634,702
01019,05000US01019,01,25853,24649,23179,21659,20567,18673,16144,13227,9585,5621,2195,479
01021,05000US01021,01,43930,41163,38060,35191,33283,29793,23964,18356,12700,6927,2791,602
01023,05000US01023,01,13075,12404,11697,10937,10425,9436,8110,6664,4858,2884,1237,295
01025,05000US01025,01,24387,23023,21648,20057,18998,16870,14277,11356,8039,4626,2051,465
01027,05000US01027,01,13378,12708,12057,11060,10559,9285,8091,6437,4613,2652,1108,249
01029,05000US01029,01,14938,14117,13062,12100,11500,10445,8739,6915,4805,2803,1185,412
01031,05000US01031,01,51288,48110,44859,41271,39127,34912,28438,21674,14837,8375,3514,906
01033,05000US01033,01,54495,51397,48125,44936,42887,38638,32142,25606,18211,10502,4499,1216
01035,05000US01035,01,12514,11799,10905,10333,9863,8848,7560,6209,4608,2707,1073,312
01037,05000US01037,01,10855,10513,10081,9359,9005,8230,7072,5811,4265,2368,1018,201
01039,05000US01039,01,37351,35209,32713,30575,29161,26438,22144,18046,13151,7650,3420,862
01041,05000US01041,01,13865,13078,12210,11285,10749,9675,8108,6366,4540,2542,1007,311
01043,05000US01043,01,82313,77334,72598,67002,63741,57212,47046,36868,25855,14803,6047,1101
01045,05000US01045,01,49255,46024,42862,39714,37749,33382,26256,20440,14287,7939,3360,864
01047,05000US01047,01,40029,37552,34710,32028,30249,26600,21926,17471,12536,6705,2712,530
01049,05000US01049,01,71200,66949,62033,56882,53720,47876,39284,30267,20871,11619,4572,1039
01051,05000US01051,01,81212,76476,71715,66255,62973,55759,44594,33461,22179,11770,4499,1141
01053,05000US01053,01,37328,35206,32916,30425,29000,25965,20983,16181,11284,6476,2735,658
01055,05000US01055,01,102939,97146,90998,84788,80658,71995,59906,46958,32910,18877,7697,1942
01057,05000US01057,01,16585,15660,14746,13710,13023,11717,9818,7943,5764,3392,1378,368
01059,05000US01059,01,31542,29377,27526,25110,23736,20812,16819,12847,8808,5100,2143,565
01061,05000US01061,01,26491,25046,23343,21662,20635,18598,15625,12509,8909,5152,2163,439
01063,05000US01063,01,8426,7936,7399,6911,6564,5833,4827,4061,3064,1716,762,202
01065,05000US01065,01,14887,13916,13029,12043,11406,10071,8384,6754,4867,2717,1144,342
01067,05000US01067,01,17124,16191,15368,14184,13537,12167,10515,8372,6153,3696,1450,442
01069,05000US01069,01,104352,98012,91294,84309,79966,71698,58139,45133,31390,17615,7332,1923
01071,05000US01071,01,52094,49301,46084,42978,40935,37225,31216,24749,17620,9972,4024,997
01073,05000US01073,01,659892,617355,574451,533276,508234,448732,353539,270000,186647,99146,41827,12719
01075,05000US01075,01,13933,13234,12356,11421,10868,9893,8421,6859,4978,2938,1358,342
01077,05000US01077,01,92585,87849,82286,77434,74063,63429,52533,42270,30386,17876,7686,2203
01079,05000US01079,01,33171,31316,29304,27120,25939,23395,19426,15421,10576,5787,2198,529
01081,05000US01081,01,159287,149856,141006,130806,125085,94988,72121,52885,34231,17739,6626,1573
01083,05000US01083,01,93052,87829,82398,75701,71640,64294,52246,39515,25627,13723,5404,1427
01085,05000US01085,01,10236,9602,8965,8303,7906,7056,5799,4707,3317,1828,782,191
01087,05000US01087,01,19054,18118,17217,16259,15643,12135,10076,8332,6160,3542,1387,393
01089,05000US01089,01,357560,336658,314979,292491,278365,243785,194282,150928,99227,51308,21731,5568
01091,05000US01091,01,19538,18569,17337,15863,15070,13523,11280,8974,6436,3690,1643,356
01093,05000US01093,01,29965,28426,26838,24856,23649,21354,18053,14585,10329,6219,2699,684
01095,05000US01095,01,95145,88609,82444,75470,71491,63644,51986,40392,27908,15941,6539,1523
01097,05000US01097,01,414659,387690,361341,333250,316322,277699,220489,170923,118240,63650,25565,7031
01099,05000US01099,01,21512,20246,18909,17545,16592,14756,12517,10083,7190,4060,1717,581
01101,05000US01101,01,226941,211626,196223,182088,173272,150042,117047,88524,60474,32183,13537,3392
01103,05000US01103,01,119122,112063,103842,96718,91738,82261,67638,52627,35900,19865,8234,2204
01105,05000US01105,01,9486,8972,8605,7808,7417,5815,5181,3886,3004,1764,714,215
01107,05000US01107,01,20298,19264,18268,17081,16296,14565,11920,9547,6545,3729,1592,524
01109,05000US01109,01,33403,31542,29780,27934,26864,19258,15285,11947,8494,4886,2067,503
01111,05000US01111,01,22574,21284,19852,18552,17660,15738,13311,10696,7753,4512,1840,425
01113,05000US01113,01,58213,53955,49325,46124,43855,38950,30047,22595,15028,7776,3124,748
01115,05000US01115,01,87306,82065,76786,70728,67308,60698,49405,38019,25546,13891,5345,1190
01117,05000US01117,01,211261,198761,184696,169857,160650,143422,117116,87325,57132,30125,11386,2710
01119,05000US01119,01,12985,12283,11590,10929,10463,7858,6704,5487,4034,2198,1014,247
01121,05000US01121,01,80565,76264,71224,66428,63217,56122,46273,36215,25169,13757,5440,1403
01123,05000US01123,01,40636,38425,35775,33558,32062,28582,24292,19950,14475,8274,3239,850
01125,05000US01125,01,206213,193865,181898,170196,163037,127554,97135,72566,49499,25685,10253,2918
01127,05000US01127,01,64493,60507,56479,52668,50140,44974,37385,29774,21069,12024,4897,1216
01129,05000US01129,01,16643,16027,15138,13716,12940,11469,9773,8011,5536,3038,1172,175
01131,05000US01131,01,10809,10143,9646,8716,8167,7204,6043,4740,3495,1985,833,238
01133,05000US01133,01,23875,22629,21436,19783,18883,17184,14600,11925,8582,5027,2042,532
02013,05000US02013,02,3425,3317,3214,3045,2937,2637,2144,1638,811,302,90,30
02016,05000US02016,02,5750,5510,5151,4911,4787,4107,3109,2255,1140,334,75,10
02020,05000US02020,02,296112,274346,253799,234589,222915,191994,140431,102510,65147,29492,9994,2626
02050,05000US02050,02,18040,16177,14363,12620,11593,9677,6936,4972,3053,1284,393,71
02060,05000US02060,02,890,838,787,728,696,645,554,419,264,85,32,7
02068,05000US02068,02,2232,2166,2124,2026,1975,1601,1332,1040,649,162,55,0
02070,05000US02070,02,4975,4497,4067,3673,3439,2902,2174,1617,1075,430,157,33
02090,05000US02090,02,99653,91756,84740,78880,75498,61838,43523,31291,20261,9124,2719,573
02100,05000US02100,02,2518,2359,2216,2033,1960,1872,1571,1254,911,614,102,10
02105,05000US02105,02,2132,2030,1921,1836,1802,1680,1454,1236,897,415,103,14
02110,05000US02110,02,32330,30429,28386,26588,25348,22479,17631,13261,8656,3877,1178,412
02122,05000US02122,02,58220,54568,51017,47217,44941,40277,33015,26134,18528,9092,2855,759
02130,05000US02130,02,13804,12964,12084,11251,10724,9580,7720,6007,4102,1950,644,198
02150,05000US02150,02,13649,12572,11457,10633,10075,8784,6512,4717,3061,1248,334,70
02158,05000US02158,02,8198,7112,6245,5351,4878,3947,2685,1961,1173,456,157,19
02164,05000US02164,02,1375,1278,1175,1074,1002,850,651,489,325,109,47,7
02170,05000US02170,02,103464,95938,88185,80033,75362,66421,51770,38070,24719,11030,3442,819
02180,05000US02180,02,9925,8968,7960,7042,6521,5475,3980,2868,1805,742,222,29
02185,05000US02185,02,9797,8984,8220,7609,7257,6510,4842,3621,2098,627,164,33
02188,05000US02188,02,7734,6924,6091,5408,5014,4186,2963,2153,1298,596,235,52
02195,05000US02195,02,3255,3049,2832,2635,2521,2135,1815,1481,1147,701,239,51
02198,05000US02198,02,6474,6080,5637,5186,4936,4472,3686,2968,2018,960,277,34
02220,05000US02220,02,8738,8326,7737,7139,6799,6142,4841,3671,2544,1268,522,154
02230,05000US02230,02,1061,995,932,910,876,809,602,438,300,120,30,5
02240,05000US02240,02,6876,6367,5878,5293,5010,4455,3532,2727,1845,886,270,47
02261,05000US02261,02,9301,8719,8016,7407,7102,6465,5042,3953,2605,1152,187,67
02275,05000US02275,02,2484,2368,2279,2108,1991,1875,1612,1404,1059,548,280,46
02282,05000US02282,02,689,627,585,535,502,451,354,271,167,85,28,3
02290,05000US02290,02,5415,5012,4550,4167,3917,3461,2727,2103,1527,739,231,68
04001,05000US04001,04,71522,66614,61086,55253,51691,44426,35545,27858,19182,10420,4237,1037
04003,05000US04003,04,126279,118634,110544,103105,98483,87467,71436,57791,43499,26550,11238,2671
04005,05000US04005,04,140217,132357,124519,115739,110570,82119,62864,47698,32722,16259,5811,1527
04007,05000US04007,04,53400,50361,47394,44286,42551,38955,33767,29255,23295,14783,6131,1385
04009,05000US04009,04,37879,35060,32279,29314,27546,23531,17809,13058,8897,5012,2130,568
04011,05000US04011,04,9504,8807,8068,7312,6865,5955,4573,3270,2235,1155,627,98
04012,05000US04012,04,20701,19740,18714,17834,17288,15910,14142,12542,10573,7847,3964,606
04013,05000US04013,04,4253913,3974752,3686400,3388230,3211668,2811491,2195491,1638262,1096423,615277,256545,72967
04015,05000US04015,04,206064,196927,186869,175705,169180,155888,135160,116190,92323,59337,25051,5682
04017,05000US04017,04,108705,100816,92595,84073,79025,69653,56327,44713,32335,18351,7167,1774
04019,05000US04019,04,1019722,960682,900544,838793,801274,678427,550623,434701,318354,190252,81998,22676
04021,05000US04021,04,419721,394876,366524,337769,321617,288250,232745,177505,130494,80907,30782,6064
04023,05000US04023,04,46584,43242,39406,36056,33712,29228,24304,19100,13600,7891,3247,851
04025,05000US04025,04,224645,215098,204862,193718,186874,171813,151246,131477,106059,66850,26783,7180
04027,05000US04027,04,207829,192617,177947,163297,154558,130819,102089,79481,57647,37429,18374,3463
05001,05000US05001,05,18124,16917,15604,14726,13948,12478,10440,8269,5985,3342,1465,381
05003,05000US05003,05,20537,19290,17583,16532,15756,13932,11960,9524,6769,3980,1620,447
05005,05000US05005,05,41219,39498,37422,35283,33993,31646,27700,23878,19105,12650,5815,1425
05007,05000US05007,05,258980,240601,221695,200993,189692,168838,130605,93906,61195,33925,14207,3953
05009,05000US05009,05,37288,35000,32656,30231,28775,25951,21663,17327,12481,7491,3225,990
05011,05000US05011,05,10948,10266,9402,8761,8350,7494,6309,4862,3432,2014,898,231
05013,05000US05013,05,5202,4897,4615,4355,4165,3750,3146,2613,1860,1082,495,103
05015,05000US05015,05,27887,26330,24736,22844,21755,19646,16763,13891,10379,6102,2303,574
05017,05000US05017,05,10826,10175,9381,8769,8370,7527,6337,5105,3735,2112,1013,275
05019,05000US05019,05,22385,21199,20091,18847,18119,13175,11062,8763,6170,3593,1633,546
05021,05000US05021,05,15061,14220,13389,12334,11745,10582,8967,7185,5210,3139,1405,368
05023,05000US05023,05,25230,24071,22764,21302,20431,18755,16324,13711,10518,6697,3091,815
05025,05000US05025,05,8226,7789,7295,6689,6364,5696,4863,3920,2795,1650,680,162
05027,05000US05027,05,23892,22464,21093,19733,18827,14720,12201,9596,6929,4035,1876,616
05029,05000US05029,05,20906,19668,18312,16943,16122,14592,12110,9688,6827,3931,1734,658
05031,05000US05031,05,105701,98314,90781,83834,79506,67712,51491,37756,25652,14104,5947,1543
05033,05000US05033,05,62472,58595,54631,49744,46986,41955,34288,26505,18211,10068,4114,1073
05035,05000US05035,05,49013,45270,41386,37876,35566,31090,24623,18807,12504,6495,2638,689
05037,05000US05037,05,16998,15880,14851,13630,12915,11477,9650,7536,5298,3052,1181,201
05039,05000US05039,05,7432,7064,6661,6150,5736,5268,4456,3643,2725,1580,676,151
05041,05000US05041,05,11887,11129,10464,9361,8833,7920,6545,5287,3885,2156,910,299
05043,05000US05043,05,18502,17380,16483,15192,14479,11728,9537,7596,5415,3091,1444,343
05045,05000US05045,05,122416,114688,106069,98536,93690,74787,57268,41952,27416,14488,5655,1611
05047,05000US05047,05,17780,16779,15605,14450,13608,12074,10146,8072,5739,3361,1518,410
05049,05000US05049,05,12139,11562,10875,10116,9652,8829,7717,6518,4944,3071,1320,451
05051,05000US05051,05,98296,93001,86679,81806,78233,70968,59911,49046,36776,22442,9845,2820
05053,05000US05053,05,18086,17113,15818,14736,13937,12494,10373,8127,5522,3116,1236,203
05055,05000US05055,05,44623,41728,38370,35532,33632,29705,24017,18175,12298,6946,2880,632
05057,05000US05057,05,22018,20409,18940,17211,16303,14390,12157,9581,6786,3873,1706,553
05059,05000US05059,05,33520,31846,29676,27744,26513,23974,19500,15402,10797,6148,2373,491
05061,05000US05061,05,13389,12459,11552,10516,9938,8868,7334,5786,4041,2338,1008,298
05063,05000US05063,05,37264,34859,32282,29850,28367,25151,20660,16099,11303,6398,2791,864
05065,05000US05065,05,13559,12894,12392,11508,11098,10126,8787,7322,5463,3380,1519,309
05067,05000US05067,05,17225,16252,15349,14289,13752,12323,9693,7560,5302,2985,1249,369
05069,05000US05069,05,70424,66151,61973,57465,54652,47396,38248,30136,21199,11468,4637,1675
05071,05000US05071,05,26291,24589,22827,20952,19903,17284,14249,10956,7578,4209,1691,436
05073,05000US05073,05,6915,6541,6084,5823,5551,4977,4272,3584,2675,1578,702,111
05075,05000US05075,05,16669,15753,14839,13644,12939,11276,9432,7541,5392,3206,1420,511
05077,05000US05077,05,9398,8912,8518,7948,7625,6786,5449,4162,2974,1731,752,213
05079,05000US05079,05,13695,13149,12569,11768,11321,10199,7838,5745,3590,2002,850,245
05081,05000US05081,05,12417,11693,11019,10151,9669,8791,7439,5789,4237,2535,999,176
05083,05000US05083,05,21757,20497,19147,17842,16932,15283,12830,10148,7148,4184,1740,425
05085,05000US05085,05,72206,67273,62288,56656,53332,47523,37122,27218,17684,9272,3641,750
05087,05000US05087,05,16076,15045,14075,13053,12265,11036,9287,7503,5219,2962,1168,273
05089,05000US05089,05,16438,15698,14684,13907,13389,12458,11025,9566,7473,4496,1746,314
05091,05000US05091,05,43759,40898,37895,35134,33326,29751,23838,18481,12674,7000,2817,765
05093,05000US05093,05,42831,39741,36681,33427,31431,27522,21937,16795,11484,6028,2475,701
05095,05000US05095,05,7249,6815,6381,6029,5773,5109,4499,3756,2782,1626,724,180
05097,05000US05097,05,8993,8569,8076,7646,7297,6708,5934,5060,3789,2393,1042,217
05099,05000US05099,05,8440,7936,7323,6851,6526,5952,5050,4208,2920,1680,683,113
05101,05000US05101,05,7848,7505,7043,6604,6298,5727,5000,4233,3264,1929,744,262
05103,05000US05103,05,24106,22654,21347,19547,18655,16716,14216,11302,8363,4602,2004,665
05105,05000US05105,05,10322,9769,9084,8455,7969,7224,6087,4931,3483,1957,815,281
05107,05000US05107,05,19034,17638,16578,14921,14078,12339,10312,8252,6018,3346,1404,496
05109,05000US05109,05,10808,10187,9495,8868,8459,7576,6403,5149,3718,2177,931,201
05111,05000US05111,05,24054,22515,20991,19324,18318,16321,13375,10541,7308,4198,1660,395
05113,05000US05113,05,20163,18943,17813,16373,15462,14102,11859,9728,7281,4471,1845,496
05115,05000US05115,05,63644,59646,55239,51359,49065,40359,31824,25085,17147,9589,4003,1109
05117,05000US05117,05,8244,7792,7312,6860,6563,5972,5120,4271,3105,1890,876,250
05119,05000US05119,05,393463,366789,339265,315958,301187,266144,207358,157022,107956,56988,23018,7541
05121,05000US05121,05,17603,16572,15670,14340,13578,12268,10065,8020,5802,3482,1587,477
05123,05000US05123,05,26294,24656,23297,21525,20521,18340,14758,10739,7386,3984,1559,315
05125,05000US05125,05,118009,111043,103355,95051,90103,81408,66360,49846,34831,20250,8127,1850
05127,05000US05127,05,10442,9649,8940,8147,7736,6941,5848,4765,3431,2077,848,218
05129,05000US05129,05,7923,7548,7151,6620,6329,5814,4973,4169,3189,1961,856,194
05131,05000US05131,05,127461,119084,110490,101842,96582,84531,68052,52173,35504,19388,7915,2199
05133,05000US05133,05,17193,15835,14453,13051,12255,10701,8578,6378,4316,2424,946,281
05135,05000US05135,05,17043,16217,15205,14099,13420,12334,10787,9066,6855,4379,1853,448
05137,05000US05137,05,12446,11871,11208,10500,9972,9155,8080,6824,5347,3283,1438,228
05139,05000US05139,05,39732,37115,34486,31746,30172,27079,22272,17596,12448,6727,2896,648
05141,05000US05141,05,16684,15880,14855,13929,13337,12270,10665,8997,6841,4223,1914,645
05143,05000US05143,05,228529,212436,196635,180910,171943,138163,103388,73591,48159,25435,10234,3012
05145,05000US05145,05,78804,73753,68659,63429,60219,50930,41121,32130,21727,12425,5240,1417
05147,05000US05147,05,6660,6270,5787,5430,5218,4722,4185,3403,2475,1483,620,167
05149,05000US05149,05,21573,20126,18937,17174,16202,14499,12150,9437,6585,3663,1622,504
06001,05000US06001,06,1643700,1546194,1449766,1353974,1299187,1156404,884537,639980,415473,215917,89097,28149
06003,05000US06003,06,1146,1107,1049,970,907,784,693,553,470,293,101,35
06005,05000US06005,06,37829,36295,34755,33028,32007,29520,25776,21447,16342,9952,3808,1253
06007,05000US06007,06,227075,214552,200694,189122,181417,147890,119197,95132,70064,40219,17056,5326
06009,05000US06009,06,45235,43299,40901,38975,37467,34602,30673,26461,20583,12214,4745,1228
06011,05000US06011,06,21464,19875,18167,16528,15581,13634,10756,8233,5592,2966,1198,338
06013,05000US06013,06,1133247,1067742,994717,918389,871947,777519,633726,482043,317840,169782,70245,21680
06015,05000US06015,06,27424,25840,24293,22444,21470,19437,15356,11908,8538,4585,1777,611
06017,05000US06017,06,186661,177989,167964,156010,148645,134716,115973,95411,68594,36751,14075,3830
06019,05000US06019,06,978130,899494,820867,742716,698151,596505,447993,327388,215596,114438,48200,15840
06021,05000US06021,06,27897,25846,24086,21739,20427,17924,14477,11092,7710,4300,1855,492
06023,05000US06023,06,135768,128404,120617,113814,109509,91946,73601,56573,41543,22647,8439,2648
06025,05000US06025,06,180216,165124,151536,136920,128540,109338,83128,61295,40730,22446,10018,3039
06027,05000US06027,06,18085,17074,15966,15078,14450,13244,11197,9179,7059,4148,1827,580
06029,05000US06029,06,883053,811880,739523,666617,625303,532100,396600,285626,183244,92005,36544,10142
06031,05000US06031,06,150075,138436,126771,115516,109140,92321,67262,46652,28651,14567,6153,1521
06033,05000US06033,06,64148,60465,56637,53141,50858,46394,39421,32715,24618,13941,5350,1375
06035,05000US06035,06,31185,29801,28529,27052,26259,22390,16103,11750,7851,4157,1653,403
06037,05000US06037,06,10098052,9473307,8865402,8238808,7851531,6845489,5235554,3848100,2478262,1299277,564884,180184
06039,05000US06039,06,155013,143206,131359,119166,112199,97015,75549,55964,37899,20797,8037,2273
06041,05000US06041,06,260295,248003,232815,216771,207387,190541,167795,135968,94606,54625,22593,6705
06043,05000US06043,06,17540,16778,16017,15266,14675,13659,11774,10160,7876,4690,1912,356
06045,05000US06045,06,87422,82279,76441,71737,68531,61799,51830,41711,31142,17845,6307,1998
06047,05000US06047,06,269075,247821,224935,202436,189013,158034,119525,86551,55802,29320,12327,3340
06049,05000US06049,06,8938,8536,7980,7516,7205,6773,5658,4785,3735,2293,942,252
06051,05000US06051,06,14174,13710,12924,12013,11485,10042,7778,6215,4251,2030,645,77
06053,05000US06053,06,433212,400894,369108,336878,319087,274528,211312,155270,103569,55515,23443,8152
06055,05000US06055,06,140530,133212,125763,116144,110636,98220,80951,63182,44257,25360,11007,3462
06057,05000US06057,06,99092,94871,90215,85152,81903,75777,65874,55051,43057,25177,9686,3098
06059,05000US06059,06,3164182,2975226,2785678,2579298,2452994,2151512,1698391,1282472,828864,440488,191277,60097
06061,05000US06061,06,380077,359752,334701,310161,294358,265483,223649,174982,122066,71099,30633,8766
06063,05000US06063,06,18699,17840,16947,16120,15636,14430,12716,10872,8661,4988,1828,418
06065,05000US06065,06,2383286,2225278,2055875,1878079,1769478,1530229,1201312,897685,593801,328609,141837,39937
06067,05000US06067,06,1510023,1410667,1309374,1207374,1147262,1012283,777920,580188,385144,202207,84299,26680
06069,05000US06069,06,59416,55514,51327,46649,43813,38076,30186,22541,14392,7194,2916,885
06071,05000US06071,06,2135413,1980797,1821446,1661070,1562561,1331752,1012541,738623,470226,233343,91489,25083
06073,05000US06073,06,3302833,3090864,2892716,2694990,2576489,2223376,1681991,1245136,824915,439595,188079,60175
06075,05000US06075,06,870044,830525,799453,769865,753147,689551,486623,349327,233329,131438,60188,21210
06077,05000US06077,06,732212,679489,622105,565117,530706,458237,357015,262664,170653,89461,36741,10968
06079,05000US06079,06,281455,267998,253919,239593,230963,187561,154790,124753,92252,52758,21711,6412
06081,05000US06081,06,765935,721160,674826,630848,604687,547899,435903,325815,216832,117867,51657,17686
06083,05000US06083,06,443738,415382,387925,360685,344621,273815,214841,164717,114757,64775,29734,9893
06085,05000US06085,06,1922200,1803512,1684050,1559372,1489516,1323801,1018895,737918,468506,246908,108902,33780
06087,05000US06087,06,273765,259230,244719,229203,220004,178865,145308,113438,78736,41001,15134,4553
06089,05000US06089,06,179085,168565,157672,147172,140412,126151,103372,84279,62030,35621,14769,4171
06091,05000US06091,06,2930,2818,2707,2554,2489,2330,2143,1763,1509,853,337,56
06093,05000US06093,06,43540,41283,38588,36279,34743,31792,27353,23067,17982,10463,4012,1183
06095,05000US06095,06,438530,411824,384175,356581,339717,299653,236102,181666,123419,64390,25310,7538
06097,05000US06097,06,501317,475581,446974,418030,400499,357968,292551,230785,164356,91097,35577,11621
06099,05000US06099,06,539301,499891,458657,417053,392394,339918,262571,194652,128121,67770,28230,8305
06101,05000US06101,06,95872,89258,82039,75008,70756,62221,48937,37296,25574,14228,6402,1784
06103,05000US06103,06,63373,59506,55223,50760,48195,43334,35796,28793,20787,11965,4952,1471
06105,05000US06105,06,12862,12291,11645,11122,10690,9966,8909,7491,5830,3389,1322,267
06107,05000US06107,06,460477,421973,381124,340352,316949,269073,204130,146887,95405,50391,20884,6478
06109,05000US06109,06,53932,51543,48710,46490,44919,41123,34454,28891,22532,13351,5492,1753
06111,05000US06111,06,848112,796403,742927,683752,648513,566685,454534,348915,232713,123435,52282,17266
06113,05000US06113,06,214977,202510,189892,176840,169058,126055,96600,71619,47841,25441,10680,3630
06115,05000US06115,06,75493,69367,63571,57756,54619,47201,35271,26078,17668,9075,3428,1117
08001,05000US08001,08,497115,460437,422465,383271,361671,318139,237359,164673,101996,49181,18615,5023
08003,05000US08003,08,16444,15286,14201,13085,12512,9526,7307,5505,3952,2113,858,158
08005,05000US08005,08,636671,596161,552601,508966,483211,430193,332130,241455,156742,78627,29781,8883
08007,05000US08007,08,12908,12329,11701,11020,10699,9797,8530,7238,5721,3168,913,193
08009,05000US08009,08,3563,3376,3157,2944,2824,2612,2240,1863,1476,923,484,154
08011,05000US08011,08,5809,5600,5360,5074,4915,4539,3424,2496,1746,1005,406,156
08013,05000US08013,08,321030,305960,288010,269395,258105,209850,165744,125133,82825,42068,16162,5138
08014,05000US08014,08,66120,62386,57840,53227,50428,45458,35643,25778,16356,8499,3261,903
08015,05000US08015,08,19164,18529,17809,16660,16185,15106,12749,10526,7965,4670,1778,571
08017,05000US08017,08,2039,1823,1657,1481,1347,1265,1060,828,552,245,165,67
08019,05000US08019,08,9379,9029,8723,8248,7907,7345,6355,5179,3650,1769,478,54
08021,05000US08021,08,8142,7569,6983,6347,5932,5301,4440,3579,2630,1466,622,127
08023,05000US08023,08,3687,3548,3361,3161,3016,2689,2378,2097,1651,987,390,65
08025,05000US08025,08,5630,5456,5250,5029,4913,3874,2860,2196,1392,724,279,65
08027,05000US08027,08,4640,4539,4299,3990,3840,3592,3305,3041,2676,1685,473,91
08029,05000US08029,08,30346,28832,27281,25326,24170,22133,19284,15973,12562,7499,3117,996
08031,05000US08031,08,693417,649996,608517,572804,553616,496573,338981,229736,149293,78751,31716,10342
08033,05000US08033,08,1841,1758,1621,1499,1485,1408,1186,1040,823,471,228,89
08035,05000US08035,08,328614,308690,283613,255682,239130,215250,179851,129411,75719,35801,12033,3171
08037,05000US08037,08,54357,51212,47421,44222,42239,38042,28996,20376,12213,5482,1576,207
08039,05000US08039,08,25162,24076,22522,20831,19648,17806,15675,12981,8442,3689,1080,349
08041,05000US08041,08,688153,641191,595201,547253,519168,442086,334499,248337,163336,83244,32202,8986
08043,05000US08043,08,47002,45140,42944,40785,39245,36374,29443,23430,16827,9807,4000,1070
08045,05000US08045,08,58538,54522,49532,45887,43510,38796,30719,22445,14731,7034,2560,711
08047,05000US08047,08,5924,5678,5423,5152,4962,4700,4109,3091,2130,858,154,92
08049,05000US08049,08,15066,14503,13855,12926,12419,11390,9190,7281,5183,2423,678,260
08051,05000US08051,08,16537,15793,14968,14148,13608,10553,8131,6052,4111,2044,633,171
08053,05000US08053,08,878,840,822,777,739,725,667,592,484,241,78,19
08055,05000US08055,08,6583,6418,6040,5646,5520,5170,4660,4012,3310,2033,860,258
08057,05000US08057,08,1296,1213,1160,1074,1048,968,822,729,576,288,123,19
08059,05000US08059,08,570427,540436,508279,475218,454501,408988,327316,251923,172178,88707,34895,10399
08061,05000US08061,08,1449,1296,1222,1100,1032,951,784,667,511,285,159,44
08063,05000US08063,08,7635,7246,6690,6147,5844,5386,4284,3365,2399,1378,644,222
08065,05000US08065,08,7585,7261,6827,6585,6318,5465,4164,3026,1918,886,213,120
08067,05000US08067,08,55101,52256,49271,46267,44536,39271,31613,24371,17237,8634,2924,910
08069,05000US08069,08,338161,320425,301901,281792,270349,221161,172551,131447,92706,49587,19145,5639
08071,05000US08071,08,14179,13557,12821,12085,11632,10422,8713,7240,5533,3253,1305,323
08073,05000US08073,08,5548,5243,4883,4620,4438,4072,3138,2301,1654,951,459,173
08075,05000US08075,08,21689,19976,19011,17813,17052,14736,11878,9316,6430,3647,1716,731
08077,05000US08077,08,149998,141275,131772,122465,116992,102669,82841,65505,47775,26902,11459,3606
08079,05000US08079,08,823,811,773,757,745,716,636,574,459,250,114,23
08081,05000US08081,08,13060,12220,11310,10314,9679,8847,7156,5384,3726,1816,644,115
08083,05000US08083,08,25909,24385,22729,21110,20110,18228,15474,12848,9547,5353,2071,663
08085,05000US08085,08,41268,38956,36465,33802,32178,29377,25117,20683,15568,9249,3926,990
08087,05000US08087,08,28257,26185,24023,22060,20838,18355,14586,11394,7864,4320,2016,514
08089,05000US08089,08,18325,17230,16004,14784,14036,12271,10335,8151,6108,3616,1679,416
08091,05000US08091,08,4722,4564,4423,4147,4032,3840,3404,2856,2192,1285,386,135
08093,05000US08093,08,17392,16565,15801,14892,14383,13546,12101,10057,7202,3322,793,195
08095,05000US08095,08,4318,4073,3759,3394,3209,2849,2349,1910,1376,793,417,121
08097,05000US08097,08,17909,17086,16267,15491,15035,13648,10787,8553,5945,3083,971,236
08099,05000US08099,08,12052,11241,10446,9538,9021,7831,6519,5180,3770,2066,883,294
08101,05000US08101,08,164685,155048,144956,133646,126983,111894,90827,71558,51468,29234,12564,3681
08103,05000US08103,08,6465,6044,5465,5012,4802,4166,3345,2612,1852,935,405,100
08105,05000US08105,08,11351,10658,9924,9186,8692,7665,6416,5228,3779,2143,891,223
08107,05000US08107,08,24874,23820,22462,21260,20248,18311,14424,10859,7361,3459,1014,259
08109,05000US08109,08,6468,6141,5710,5297,5056,4698,4124,3497,2646,1381,441,93
08111,05000US08111,08,544,529,520,485,475,464,382,335,257,152,51,11
08113,05000US08113,08,7968,7648,7217,6707,6507,5976,4586,3436,2239,995,213,29
